ID,ARI,5-min,10-min,15-min,30-min,60-min,2-hr,3-hr,6-hr,12-hr,24-hr,2-day,3-day,4-day,7-day,10-day,20-day,30-day,45-day,60-day
2,1,0.122,0.175,0.212,0.31,0.456,0.654,0.792,1.11,1.48,1.89,2.28,2.46,2.66,3.06,3.31,3.96,4.71,5.57,6.51
2,2,0.174,0.25,0.302,0.442,0.6509999999999999,0.872,1.03,1.41,1.89,2.48,3.04,3.31,3.6,4.17,4.54,5.5,6.55,7.71,8.94
2,5,0.245,0.35100000000000003,0.425,0.622,0.9159999999999999,1.18,1.37,1.84,2.49,3.34,4.15,4.57,5.01,5.83,6.38,7.79,9.3,10.9,12.6
2,10,0.304,0.436,0.528,0.772,1.14,1.45,1.67,2.22,3.03,4.11,5.16,5.71,6.28,7.33,8.03,9.87,11.8,13.8,15.8
2,25,0.389,0.557,0.674,0.986,1.45,1.84,2.12,2.81,3.85,5.27,6.68,7.44,8.21,9.62,10.6,13.0,15.6,18.2,20.9
2,50,0.456,0.653,0.79,1.16,1.7,2.17,2.5,3.32,4.56,6.26,7.98,8.94,9.89,11.6,12.7,15.7,18.8,22.1,25.2
2,100,0.526,0.755,0.912,1.34,1.97,2.52,2.92,3.9,5.35,7.35,9.44,10.6,11.8,13.8,15.1,18.8,22.5,26.3,30.0
2,200,0.602,0.862,1.04,1.53,2.25,2.91,3.39,4.56,6.25,8.57,11.1,12.5,13.9,16.3,17.9,22.2,26.5,31.0,35.3
2,500,0.708,1.02,1.23,1.8,2.65,3.48,4.09,5.57,7.63,10.4,13.6,15.5,17.2,20.1,22.0,27.3,32.6,38.1,43.3
2,1000,0.794,1.14,1.38,2.01,2.97,3.97,4.69,6.46,8.83,12.0,15.8,18.0,20.1,23.4,25.6,31.7,37.9,44.1,50.1
11,1,0.136,0.195,0.235,0.34700000000000003,0.519,0.743,0.922,1.35,1.92,2.55,3.1,3.31,3.57,4.16,4.58,5.82,6.95,8.39,9.77
11,2,0.172,0.24600000000000002,0.298,0.439,0.6559999999999999,0.9490000000000001,1.18,1.73,2.47,3.3,4.09,4.42,4.8,5.61,6.17,7.84,9.38,11.3,13.2
11,5,0.22399999999999998,0.322,0.389,0.574,0.857,1.23,1.53,2.24,3.2,4.29,5.43,5.96,6.51,7.62,8.38,10.7,12.8,15.4,18.0
11,10,0.272,0.39,0.47200000000000003,0.6970000000000001,1.04,1.48,1.83,2.66,3.78,5.1,6.56,7.29,8.0,9.37,10.3,13.1,15.7,19.0,22.1
